, month(bm_doc_publish_time) , count(bm_doc_id) 
,                          1 ,           821783 
,                          2 ,           957812 
,                          3 ,           829605 
,                          4 ,           924075 
,                          5 ,          1008038 
,                          6 ,           680432 
,                          7 ,           943070 
,                          8 ,           954154 
,                          9 ,           672626 
,                         10 ,           996010 
,                         11 ,           854568 
,                         12 ,           511494 
+----------------------------+------------------+,,